sr_no,benchmark,kernel_name,C/M,reg_thread,smem_pblock,no_of_cmpinst,no_of_globinst,no_of_sharinst,miscelleneous,no_of_blocks,threads_pbl,occupancy,power
658,LUD,LUDint,C/M,36,2048,52,7,32,1,31,256,0.75,77.5758
659,Scan,scanExclusiveShared,M,20,2048,34,5,0,6,6656,256,1,140.3679
660,Scan,scanExclusiveShared,M,20,2048,34,5,0,6,3328,512,1,135.3642
661,Scan,scanExclusiveShared,M,20,2048,34,5,0,6,1664,1024,1,122.455
662,Scan,scanExclusiveShared,M,20,2048,34,5,0,6,13312,128,1,138.8856
663,LUD,LUDint,M,21,2048,52,7,32,1,225,256,1,66.97479
664,LUD,LUDint,M,21,2048,52,7,32,1,3969,256,1,96.52744
665,LUD,LUDint,M,21,2048,52,7,32,1,961,256,1,77.76337
666,LUD,LUDint,M,21,2048,52,7,32,1,576,256,1,73.28511
667,LUD,LUDint,M,21,2048,52,7,32,1,2401,256,1,90.82135
668,Binomial Options,BinomOpt,M,22,2048,307,1,1,8,1024,512,1,74.0975
669,Merge Sort,mergeElementaryIntervals,M,16,2072,184,20,37,34,32768,128,1,113.9646
670,NW,NW1,C/M,28,2180,171,43,92,64,1,16,0.25,49.63
671,NW,NW2,C/M,28,2180,173,44,92,64,1,16,0.25,49.712
672,Convolution Seperable,ConvS_R,M,20,2560,165,22,129,5,18432,128,1,59.75
673,LUD,LUDPeri,C/M,46,3072,293,86,46,3072,10,32,0.25,63.539
674,LUD,LUDPeri,C/M,46,3072,293,86,46,3072,31,32,0.25,64.388
675,LUD,LUDPeri,C/M,46,3072,293,86,46,3072,63,32,0.25,66.2777
676,LUD,LUDPeri,C/M,46,3072,293,86,46,3072,15,64,0.5,63.404
677,Hotspot,calculate_temp,M,34,3072,121,16,8,21,1849,256,0.75,76.009
678,fdtd,FiniteDifferencesKernel,C/M,41,3840,690,73,160,141,288,512,0.5,108.0188
679,LUD,LUDDiag,C/M,52,4096,176,34,22,17,1,32,0.19,62.96798
680,Histogram,histogram64Kernel,M,17,4096,231,5,80,8,4370,64,0.38,103.1744
681,Particle Filter,likelihood_kernel,C/M,39,4096,564,52,3,109,2,512,0.75,68.7988
682,Particle Filter,likelihood_kernel,C/M,38,4096,564,52,3,109,8,128,0.75,68.99635
683,Particle Filter,likelihood_kernel,C/M,38,4096,564,52,3,109,4,256,0.75,68.68999
684,Binomial Options,BinomOpt,M,14,4096,307,1,1,8,1024,1024,1,66.527
685,Stereo,Stereo,M,24,4608,141,6,68,22,1340,256,1,103.8528
686,Srad,srad2,M,17,5120,95,19,5,21,64,256,1,56.0484
687,Convolution Seperable,ConvS_C,M,25,5184,184,22,73,5,9216,64,0.28,61.491
688,Histogram,histogram256Kerne,M,17,6144,63,5,6,10,240,192,0.75,94.5447
689,Srad,Srad1,M,19,6144,165,22,20,60,64,256,1,56.3509
690,Merge Sort,mergeSortSharedKernel,C/M,20,8192,73,13,10,15,64,256,0.75,113.4631
691,Matrix Multiplication,MatrixMul_1024,M,22,8192,73,8,64,6,200,1024,1,95.572
692,Matrix Multiplication,MatrixMul_200,M,22,8192,73,8,64,6,1024,1024,1,83.254
693,Matrix Multiplication,MatrixMul_256,M,22,8192,73,8,64,6,256,1024,1,82.2078
694,Heartwall,heartwall,M,32,11872.26,111,876,94,9,34,512,1,93.6418
695,LUD,LUDPeri,C/M,48,12288,293,86,46,3072,31,64,0.13,64.9525
696,LUD,LUDPeri,C/M,48,12288,293,86,46,3072,24,64,0.13,64.4658
697,LUD,LUDPeri,C/M,48,12288,293,86,46,3072,11,64,0.13,63.5458
698,Hotspot,hotspot,M,36,12288,9,121,16,8,1849,256,1,94.50677
699,Hotspot,hotspot,M,36,12288,9,121,16,8,361,1024,1,81.40057
700,Hotspot,hotspot,M,36,12288,9,121,16,8,16384,64,1,102.285
701,Hotspot,hotspot,M,36,12288,9,121,16,8,676,576,1,87.87888
